q1	q2	q3	q4	q5	q6	q7
-0.701	-0.3845	0.6006	-1.9612	0.1359	1.9952	0.718
-0.7009	0.2007	0.6786	-1.4926	0.0472	1.6384	0.7159
-0.6873	0.2018	0.7239	-1.555	-0.0102	2.2109	0.7159
-0.656	0.264	0.9362	-1.4017	0.0533	1.5561	0.0494
-0.7845	0.2683	0.8328	-1.3764	-0.562	1.6639	-0.583
-0.7281	0.4018	0.8868	-1.3818	-0.5596	2.2182	0.5197
-0.7235	0.0923	1.1755	-1.3917	-0.3501	1.2215	1.0403
-0.7446	0.5352	1.1845	-1.3636	0.0903	1.9777	0.3265
-0.9057	0.476	1.1785	-1.3335	-0.8652	1.7963	-0.1904
-0.9066	0.3807	1.2224	-1.3364	-0.8651	1.0682	-0.1907
-0.8896	0.3972	1.3186	-1.4215	-0.8594	1.5386	0.7857
-0.812	0.7593	1.4559	-1.3408	-0.4187	1.6049	0.4778
-0.8629	0.7216	1.4579	-1.3373	-0.8916	1.5918	-0.4169
-0.9007	0.7322	1.5055	-1.3351	-0.9741	1.7067	2.3242
-0.8961	0.7392	1.5787	-1.2685	-0.7672	0.8999	1.7962
-0.9065	0.7468	1.5792	-1.2491	-0.9184	1.1918	0.315
-0.9184	0.8463	1.5188	-1.252	-0.9836	1.6495	0.0238
-0.8706	0.864	1.5654	-1.1778	-0.7132	1.2313	-0.1816
